#Frame        phi:121      psi:121
     766     -92.8376     -39.0806
     767    -113.9975       9.1360
     768     -87.7573     -32.3035
     769     -99.0068     -10.9581
     770    -118.6776     -23.4419
     771    -114.1697     -20.9601
     772    -123.2603      -9.5323
     773    -110.9089     -30.2666
     774    -121.8861      10.8590
     775    -104.0460     -10.9448
     776    -101.3006     -20.5171
     777    -101.5535     -20.4995
     778    -105.8539     -19.1823
     779     -99.0969     -26.5021
     780     -95.3281     -32.4094
     781     -86.2948     -24.7620
     782    -123.0889     -14.5748
     783    -118.9539     -23.3361
     784    -121.1339      -0.7476
     785    -134.1463       2.0265
     786    -109.8118     -22.5586
     787    -104.3300     -26.5633
     788     -90.0299     -13.8623
     789    -114.9145     -13.1133
     790    -112.1788     -12.9656
     791    -110.5945     -12.2228
     792    -121.2137     -28.1154
     793    -108.0098     -18.9422
     794    -135.3249      -8.6312
     795    -123.7783       3.7178
     796    -119.2342      -5.4699
     797    -113.5422      -9.7967
     798     -98.5749      -0.6691
     799    -131.5158       0.9516
     800     -99.7486     -17.0891
     801    -120.6444      -3.9459
     802    -101.4211     -12.8741
     803     -96.7574      12.9978
     804    -117.3454      -3.8582
     805    -100.0521       2.1319
     806    -101.7121      -7.8240
     807     -93.2912      -0.2432
     808    -102.9871      -4.6090
     809    -116.1324      -1.6090
     810     -98.4525      -9.6256
     811    -116.0479       0.9126
     812    -114.1605     -31.5565
     813    -104.8462       5.3040
     814    -115.8025      -2.4020
     815    -115.4367       1.4269
     816     -98.9643      -3.3191
     817     -91.2317       5.0201
     818    -120.7114     -18.8672
     819    -117.2308     -15.1164
     820    -108.4769     -10.9959
     821    -102.6099      -7.9906
     822     -81.5977     -15.0042
     823    -103.3792      -5.1045
     824    -125.4430      -1.1761
     825     -93.0686      -2.4496
     826    -120.3050     -13.9425
     827     -90.4141     -19.6950
     828    -110.0678      -6.0777
     829     -99.9353     -18.6174
     830    -105.6491      10.9484
     831    -116.1769     -21.0934
     832    -115.4368      -0.2480
     833    -127.1123     -10.9417
     834     -80.8924       2.9138
     835    -119.8016      -5.5573
     836     -96.6567       1.6708
     837    -112.9501      -4.1934
     838     -93.2604     -20.5963
     839    -100.0265     -31.0279
     840    -136.0016     -16.0915
     841    -118.6613      -4.3540
     842     -88.5636     -22.8913
     843    -102.2165      -6.4376
     844     -91.3407     -13.3877
     845    -107.3413     -11.6814
     846     -87.2975      -9.2033
     847    -109.8416      -9.4322
     848    -109.4447     -34.4694
     849     -96.0075      -9.3806
     850    -117.9356      -5.6422
     851    -116.1098     -18.7914
     852     -93.2932      -5.6446
     853     -87.0205     -14.6767
     854    -106.4835     -16.8037
     855    -101.4299     -10.7860
     856     -99.7402     -18.8105
     857     -96.3896     -14.9274
     858    -108.2495     -21.7882
     859    -116.0054     -11.3444
     860     -95.0091      -3.8802
     861    -128.6097     -11.5086
     862    -109.2244     -15.8182
     863    -116.9722     -31.5834
     864     -97.3839      -7.1146
     865    -127.6335     -32.9336
     866    -120.8077     -11.2766
     867    -113.6882     -12.5845
     868     -92.9381     -28.5494
     869    -127.1667     -31.2243
     870    -100.5024      -3.3957
     871    -111.9935     -11.4703
